Incident ID,Location Name,Incident Type,Verification,lat,lon,Date↕,Visual Evidence,Sources
40229-37742,Nabulsi Roundabout,Attack on civilians seeking aid,confirmed,31.50422,34.41542,29 Feb 2024,@JalalAK_jojo↗,drive.google.com↗
40229-41520,,Attack on civilians seeking aid,confirmed,31.50563,34.4177,29 Feb 2024,@muhammadshehad2↗,
40301-77405,,Attack on civilians seeking aid,most likely,31.50563,34.4177,01 Mar 2024,instagram.com↗,
40301-26261,Smou Al Sheakh Hamad Ibn Khalifa Al Thanee Basic Girls School and Smou Al Sheakh Hamad Ibn Khalifa Al Thanee Secondary Girls School,Attack on displaced civilians,confirmed,31.37556,34.31922,01 Mar 2024,@QastalNewsEn↗,
40302-66440,Nabulsi Roundabout,"Attack on civilians seeking aid, Attack on evacuation route",confirmed,31.506,34.41714,02 Mar 2024,@RamAbdu↗,drive.google.com↗
40302-59207,,"Attack on aid, Attack on evacuation route",most likely,31.50169,34.46684,02 Mar 2024,Unknown,
40302-26943,Emirates Crescent Hospital,Attack on hospitals and vicinity,confirmed,,,02 Mar 2024,Unknown,ochaopt.org↗ @LocalFocus1↗@MSF↗
40302-75861,Al-Bukhari Mosque,"Airstrike, Attack on destination area",confirmed,31.41412,34.34442,02 Mar 2024,@qudsn↗,
40303-83872,,"Attack on aid, Attack on destination area, Attack on 'humanitarian zone'",confirmed,31.41713,34.35093,03 Mar 2024,Unknown,drive.google.com↗
40303-44729,,Attack on civilians seeking aid,confirmed,31.47977,34.44226,03 Mar 2024,@AJEnglish↗,unocha.org↗
40303-52233,,Attack on aid personnel,confirmed,31.28517,34.27116,03 Mar 2024,Unknown,aidworkersecurity.org↗
40304-47580,,"Attack on civilians seeking aid, Attack on aid personnel",confirmed,31.50563,34.4177,04 Mar 2024,@RamAbdu↗,@WarWatchs↗
40304-50801,,Attack on aid personnel,confirmed,31.5423,34.4956,04 Mar 2024,Unknown,straitstimes.com↗
40304-56601,Gaza European vicinity,Attack on hospitals and vicinity,confirmed,,,04 Mar 2024,Unknown,ochaopt.org↗
40305-20471,,Attack on civilians seeking aid,confirmed,31.50563,34.4177,05 Mar 2024,@AJEnglish↗,
40305-69930,Algerian,Attack on hospitals and vicinity,confirmed,,,05 Mar 2024,facebook.com↗,
40306-90593,Nabulsi Roundabout,Attack on civilians seeking aid,confirmed,31.50563,34.4177,06 Mar 2024,Unknown,@AJENews↗
40307-40148,Kuwait Roundabout,Attack on civilians seeking aid,confirmed,31.50563,34.4177,07 Mar 2024,Unknown,@AJABreaking↗
40308-08256,,Attack on aid personnel,confirmed,31.41899,34.34944,08 Mar 2024,Unknown,anera.org↗
40308-93107,,"Attack on aid personnel, Attack on destination area",confirmed,31.41889,34.35167,08 Mar 2024,Unknown,aidworkersecurity.org↗ search.brave.com↗
40309-94257,,Attack on civilians seeking aid,confirmed,31.50563,34.4177,09 Mar 2024,Unknown,drive.google.com↗
40309-45555,,Attack on civilians seeking aid,confirmed,31.47977,34.44226,09 Mar 2024,Unknown,drive.google.com↗
40309-73269,"Shelter for aid workers, registered with COGAT","Attack on aid personnel, Attack on destination area",confirmed,31.28554,34.27128,09 Mar 2024,Unknown,anera.org↗
40309-80232,,Attack on civilians seeking aid,confirmed,31.48727,34.48376,09 Mar 2024,aljazeera.com↗,@Kahlissee↗
40310-40019,al-Nuseirat market,Attack on aid,most likely,31.44953,34.39364,10 Mar 2024,Unknown,@PalHighlight↗english.wafa.ps↗
40311-84194,Kuwait Roundabout,Attack on civilians seeking aid,confirmed,31.47977,34.44226,11 Mar 2024,Unknown,drive.google.com↗
40312-01190,Kuwait Roundabout,"Attack on civilians seeking aid, Attack on evacuation route",most likely,31.4798,34.4423,12 Mar 2024,@RamAbdu↗,
40313-42803,,Attack on aid personnel,confirmed,31.28554,34.27128,13 Mar 2024,ichef.bbci.co.uk↗,bbc.com↗
40313-74065,Rafah aid centre,"Attack on aid personnel, Attack on destination area, Attack on UNRWA aid distribution",confirmed,31.27819,34.26034,13 Mar 2024,Unknown,
40313-74966,Kuwait Roundabout,Attack on civilians seeking aid,confirmed,31.47977,34.44226,13 Mar 2024,Unknown,drive.google.com↗
40313-68743,Khirbat al-Adas,"Attack on aid, Attack on aid personnel",confirmed,31.28564,34.27129,13 Mar 2024,Unknown,drive.google.com↗
40313-74251,UN distribution centre,"Attack on aid personnel, Attack on destination area",confirmed,31.29837,34.24183,13 Mar 2024,aljazeera.com↗,aidworkersecurity.org↗ bbc.co.uk↗
40314-74600,Nuseirat aid distribution centre,Attack on civilians seeking aid,confirmed,31.44987,34.39295,14 Mar 2024,Unknown,drive.google.com↗
40314-85098,,Attack on civilians seeking aid,confirmed,31.47977,34.44226,14 Mar 2024,@EyeonPalestine↗,@RamAbdu↗drive.google.com↗
40314-08498,Turkish Friendship vicinity,Attack on hospitals and vicinity,confirmed,,,14 Mar 2024,@ytirawi↗,@NemoAnno↗
40315-98248,Kuwait Roundabout,"Attack on civilians seeking aid, Attack on evacuation route",confirmed,31.48369,34.44564,15 Mar 2024,instagram.com↗,@AJArabic↗aljazeera.com↗
40318-40834,Shifa Medical Complex,Attack on aid personnel,confirmed,31.52436,34.44283,18 Mar 2024,instagram.com↗,middleeastmonitor.com↗ madamasr.com↗
40507-83805,Jabalia aid storage center,Attack on aid,confirmed,31.53722,34.49639,18 Mar 2024,Unknown,drive.google.com↗
40318-49809,,Attack on aid personnel,confirmed,31.52932,34.47974,18 Mar 2024,Unknown,drive.google.com↗
40318-48036,Shifa Medical Complex,Hospital evacuation order,confirmed,,,18 Mar 2024,Unknown,ochaopt.org↗
40318-80647,Shifa Medical Complex vicinity,Attack on hospitals and vicinity,confirmed,,,18 Mar 2024,Unknown,@hamza20300↗@hamza20300↗
40318-27377,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,18 Mar 2024,Unknown,@hamza20300↗@hamza20300↗
40318-46921,Shifa Medical Complex,Hospital evacuation order,confirmed,,,18 Mar 2024,@hamza20300↗,
40318-83255,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,18 Mar 2024,Unknown,@hamza20300↗@hamza20300↗
40318-16275,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,18 Mar 2024,Unknown,@hamza20300↗
40318-86642,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,18 Mar 2024,@MOHMediaGaza↗,
40318-16042,Shifa Medical Complex,Attack on hospitals and vicinity,confirmed,,,18 Mar 2024,@JoeTruzman↗,
40318-13135,Shifa Medical Complex,Documented Israeli military presence,confirmed,,,18 Mar 2024,@AJA_Palestine↗,@AJA_Palestine↗@AbdulKh10143143↗instagram.com↗ @QudsNen↗
40318-51218,Shifa Medical Complex,Documented Israeli military presence,confirmed,,,18 Mar 2024,@ForensicArchi↗,
40318-02936,Shifa Medical Complex,Hospital evacuation order,confirmed,,,18 Mar 2024,@ForensicArchi↗,
